time/total_timesteps,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/fps,rollout/exploration_rate,rollout/ep_len_mean,train/n_updates,train/loss,train/learning_rate
2345,13.469722169999997,176,40,57,0.05,15.72,2144,0.15455543994903564,0.0005
2410,13.473055510000002,180,41,57,0.05,15.72,2209,0.036798231303691864,0.0005
2476,13.495277730000003,184,43,57,0.05,15.74,2275,0.11349672079086304,0.0005
2541,13.53833328,188,44,57,0.05,15.76,2340,0.09784173965454102,0.0005
2604,13.60666662,192,45,57,0.05,15.83,2403,0.06348850578069687,0.0005
2668,13.692222170000003,196,46,57,0.05,15.93,2467,0.05665697529911995,0.0005
2731,13.77305551,200,47,57,0.05,16.01,2530,0.09029006958007812,0.0005
2797,13.796944400000003,204,48,57,0.05,16.03,2596,0.005631627049297094,0.0005
2865,13.8933333,208,49,57,0.05,16.13,2664,0.09257008880376816,0.0005
2929,13.90222218,212,51,57,0.05,16.13,2728,0.05201661214232445,0.0005
2994,13.92361108,216,52,57,0.05,16.14,2793,0.06472118198871613,0.0005
3057,13.91916664,220,53,57,0.05,16.13,2856,0.05492400377988815,0.0005
3122,13.91888887,224,54,57,0.05,16.12,2921,0.055610284209251404,0.0005
3187,13.92138888,228,55,57,0.05,16.12,2986,0.08522509038448334,0.0005
3247,13.888611100000002,232,56,57,0.05,16.07,3046,0.1747981309890747,0.0005
3312,13.904722210000003,236,57,57,0.05,16.08,3111,0.10752000659704208,0.0005
3368,13.842500000000003,240,58,57,0.05,16.0,3167,0.10135011374950409,0.0005
3432,13.830555550000001,244,59,57,0.05,15.98,3231,0.031915124505758286,0.0005
3497,13.83805555,248,60,57,0.05,15.98,3296,0.07844984531402588,0.0005
3561,13.81222222,252,62,57,0.05,15.96,3360,0.03036663681268692,0.0005
3625,13.80972223,256,63,57,0.05,15.97,3424,0.05795606970787048,0.0005
3688,13.803611119999998,260,64,57,0.05,15.95,3487,0.07818228751420975,0.0005
3753,13.788888889999999,264,65,57,0.05,15.93,3552,0.0517507903277874,0.0005
3818,13.797499989999999,268,66,57,0.05,15.93,3617,0.08531804382801056,0.0005
3883,13.889444430000001,272,67,57,0.05,16.03,3682,0.025725368410348892,0.0005
3947,13.882777760000003,276,68,57,0.05,16.02,3746,0.05050842836499214,0.0005
4012,13.89083331,280,69,57,0.05,16.02,3811,0.10981906950473785,0.0005
4076,13.881111090000001,284,71,57,0.05,16.0,3875,0.015547677874565125,0.0005
4143,13.894722210000003,288,72,57,0.05,16.02,3942,0.041212718933820724,0.0005
4205,13.891388860000001,292,73,57,0.05,16.01,4004,0.07369755208492279,0.0005
4270,13.899444430000003,296,74,57,0.05,16.02,4069,0.07627639174461365,0.0005
4330,13.87166665,300,75,57,0.05,15.99,4129,0.08482901006937027,0.0005
4394,13.855277760000002,304,76,57,0.05,15.97,4193,0.060461487621068954,0.0005
4460,13.840277750000002,308,77,57,0.05,15.95,4259,0.02582463249564171,0.0005
4521,13.811111090000002,312,78,57,0.05,15.92,4320,0.018296224996447563,0.0005
4588,13.82583331,316,80,57,0.05,15.94,4387,0.03656763955950737,0.0005
4652,13.83444442,320,81,57,0.05,15.95,4451,0.11844275891780853,0.0005
4716,13.81972219,324,82,57,0.05,15.94,4515,0.04661087691783905,0.0005
4771,13.731111069999999,328,83,57,0.05,15.84,4570,0.05241002142429352,0.0005
4834,13.761388850000001,332,84,56,0.05,15.87,4633,0.017660951241850853,0.0005
4898,13.757777730000003,336,86,56,0.05,15.86,4697,0.020326608791947365,0.0005
