time/fps,time/episodes,rollout/ep_len_mean,rollout/exploration_rate,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/loss,train/learning_rate,train/n_updates
58,200,15.8,0.05,44,2608,13.638888929999998,0.014378839172422886,0.0005,2407
58,204,15.95,0.05,45,2671,13.77111115,0.11524318158626556,0.0005,2470
58,208,15.93,0.05,46,2735,13.754444480000002,0.14364229142665863,0.0005,2534
58,212,15.97,0.05,47,2800,13.78138891,0.07761313021183014,0.0005,2599
58,216,16.0,0.05,49,2865,13.80805558,0.09170830994844437,0.0005,2664
58,220,16.11,0.05,50,2931,13.911944469999998,0.07193019986152649,0.0005,2730
58,224,16.09,0.05,51,2995,13.90722223,0.07234366238117218,0.0005,2794
57,228,16.09,0.05,52,3059,13.910555550000002,0.05604114383459091,0.0005,2858
57,232,16.12,0.05,54,3124,13.936388879999999,0.05799045413732529,0.0005,2923
57,236,16.13,0.05,55,3186,13.96416664,0.041086193174123764,0.0005,2985
57,240,16.12,0.05,56,3251,13.959444419999997,0.06383354961872101,0.0005,3050
57,244,16.13,0.05,57,3316,13.966944419999997,0.15305443108081818,0.0005,3115
57,248,16.13,0.05,58,3379,13.974999969999999,0.10773396492004395,0.0005,3178
57,252,16.14,0.05,60,3445,13.9969444,0.09603997319936752,0.0005,3244
57,256,16.14,0.05,61,3510,14.005277730000003,0.052539627999067307,0.0005,3309
57,260,16.14,0.05,62,3575,14.01305551,0.04689010977745056,0.0005,3374
56,264,16.13,0.05,63,3640,14.00638885,0.11240605264902115,0.0005,3439
56,268,16.11,0.05,65,3704,13.998333300000002,0.05117832124233246,0.0005,3503
56,272,16.1,0.05,66,3768,13.996388860000001,0.1068238839507103,0.0005,3567
56,276,16.07,0.05,67,3831,13.97777775,0.06957043707370758,0.0005,3630
55,280,16.07,0.05,69,3895,13.978333309999996,0.17684070765972137,0.0005,3694
55,284,16.08,0.05,71,3960,13.98833331,0.14580591022968292,0.0005,3759
54,288,16.08,0.05,73,4024,13.98027777,0.04908387362957001,0.0005,3823
